EPOCH,Accuracy
1,0.920
2,0.966
3,0.967
4,0.973
5,0.974
6,0.971
7,0.979
8,0.985
9,0.974
10,0.980
11,0.981
12,0.981
13,0.983
14,0.975
15,0.986
16,0.976
17,0.980
18,0.977
19,0.982
20,0.981
21,0.982
22,0.980
23,0.982
24,0.975
25,0.981
26,0.980
27,0.980
28,0.979
29,0.982
30,0.981
31,0.984
32,0.980
33,0.984
34,0.981
35,0.984
36,0.982
37,0.984
38,0.982
39,0.990
40,0.984
41,0.985
42,0.984
43,0.984
44,0.982
45,0.977
46,0.980
47,0.988
48,0.980
49,0.985
50,0.985
51,0.985
52,0.978
53,0.981
54,0.983
55,0.982
56,0.987
57,0.982
58,0.978
59,0.981
60,0.983
61,0.982
62,0.981
63,0.982
64,0.984
65,0.984
66,0.980
67,0.991
68,0.989
69,0.988
70,0.987
71,0.988
72,0.986
73,0.984
74,0.988
75,0.985
76,0.987
77,0.985
78,0.985
79,0.987
80,0.988
81,0.986
82,0.989
83,0.986
84,0.983
85,0.988
86,0.992
87,0.985
88,0.984
89,0.983
90,0.984
91,0.983
92,0.990
93,0.982
94,0.990
95,0.986
96,0.992
97,0.984
98,0.988
99,0.990
100,0.989